logID,fightID,encounterID,sourceID,timestamp.x,abilityGameID.x,delayms.x,row_number,timestamp.y,abilityGameID.y,delayms.y,indicator,total_delay,encounterName
19cG8bnr2K6JDVPa,29,100627,16,6048853,1,1622,2,6051130,75,2277,1,3899,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6053569,27014,623,3,6054469,75,900,1,1523,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6060166,27014,403,4,6060446,75,280,1,683,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6060173,1,410,5,6060446,75,273,1,683,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6062379,1,890,6,6062665,75,286,1,1176,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6064586,1,869,7,6064864,75,278,1,1147,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6068175,27014,243,8,6068898,34120,723,1,966,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6072308,1,364,9,6072524,75,216,1,580,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6075234,27014,430,10,6078243,75,3009,1,3439,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6080796,1,144,11,6081518,34120,722,1,866,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6084226,27014,487,12,6084489,75,263,1,750,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6084238,1,499,13,6084489,75,251,1,750,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6087502,1,445,14,6087804,75,302,1,747,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6091741,27014,819,15,6091970,75,229,1,1048,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6101246,27014,484,16,6102000,75,754,1,1238,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6105811,1,691,17,6106095,75,284,1,975,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6109434,27014,1179,18,6109870,75,436,1,1615,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6113292,1,209,19,6113710,75,418,1,627,<b><span style='color:#005F73;'>Morogrim</span></b>
19cG8bnr2K6JDVPa,29,100627,16,6116972,27014,787,20,6117443,75,471,1,1258,<b><span style='color:#005F73;'>Morogrim</span></b>
